Extraction_ID	Sample_id	Propagation	Sample_origin	Group	Litter	Sex	Birth_weight	Diarrhea_time	WCPSI_colon	NEC_01	Inoculum_type	Sample_or_Control	Batch	Sample_time_point	No_ID	Substrate
P58	pos	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
P57	sPC_litter2	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	Other	Other	Other	Other
Chem_1	PV1 Ino-V	Ino-VB PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Inoculum	1	Inoculum
Chem_2	PV1 V0.1	VB0 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Batch0	2	HMO
Chem_3	PV1 V1.1	VB1 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Batch1	3	HMO
Chem_4	PV1 V2.1	VB2 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Batch2	4	HMO
Chem_5	PV1 V3.1	VB3 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Batch3	5	HMO
Chem_6	PV1 V4.1	VB4 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Chemostat1	6	HMO
Chem_7	PV1 V5.1	VB5 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Chemostat2	7	HMO
Chem_8	PV1 V7.1	VB7 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Chemostat3	8	HMO
Chem_9	PV1 V8.1	VB8 PV1	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B1	Chemostat4	9	HMO
Chem_10	PV2 Ino-V	Ino-VB PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Inoculum	10	Inoculum
Chem_11	PV2 V0.1	VB0 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Batch0	11	HMO
Chem_12	PV2 V1.1	VB1 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Batch1	12	HMO
Chem_13	PV2 V2.1	VB2 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Batch2	13	HMO
Chem_14	PV2 V3.1	VB3 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Batch3	14	HMO
Chem_15	PV2 V4.1	VB4 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Chemostat1	15	HMO
Chem_16	PV2 V5.1	VB5 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Chemostat2	16	HMO
Chem_17	PV2 V7.1	VB7 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Chemostat3	17	HMO
Chem_18	PV2 V8.1	VB8 PV2	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B2	Chemostat4	18	HMO
Chem_19	PV3 Ino-V	Ino-VB PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Inoculum	19	Inoculum
Chem_20	PV3 V0.1	VB0 PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Batch0	20	Lactose
Chem_21	PV3 V1.1	VB1 PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Batch1	21	Lactose
Chem_22	PV3 V2.1	VB2 PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Batch2	22	Lactose
Chem_23	PV3 V3.1	VB3 PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Batch3	23	Lactose
Chem_24	PV3 V4.1	VB4 PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Chemostat1	24	Lactose
Chem_25	PV3 V5.1	VB5 PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Chemostat2	25	Lactose
Chem_26	PV3 V7.1	VB7 PV3	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Chemostat3	26	Lactose
Chem_27	PV3 V8.1	VB8 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B3	Chemostat4	27	Lactose
Chem_28	PV4 Ino-V	Ino-VB PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Inoculum	28	Inoculum
Chem_29	PV4 V0.1	VB0 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Batch0	29	HMO
Chem_30	PV4 V1.1	VB1 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Batch1	30	HMO
Chem_31	Pos_control	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other	Other
Chem_32	Neg_control	Other	Neg_Control_1	Other	Other	Other	Other	Other	Other	Other	Other	Neg_control	Other	Other	Other	Other
Chem_33	PV4 V2.1	VB2 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Batch2	31	HMO
Chem_34	PV4 V3.1	VB3 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Batch3	32	HMO
Chem_35	PV4 V4.1	VB4 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Chemostat1	33	HMO
Chem_36	PV4 V5.1	VB5 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Chemostat2	34	HMO
Chem_37	PV4 V7.1	VB7 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Chemostat3	35	HMO
Chem_38	PV4 V8.1	VB8 PV4	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B4	Chemostat4	36	HMO
Chem_39	PV5 Ino-V	Ino-VB PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Inoculum	37	Inoculum
Chem_40	PV5 V0.1	VB0 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Batch0	38	HMO
Chem_41	PV5 V1.1	VB1 PV5	Chemostat	Other	Other	Other	Other	Other	Other	Other	Other	TRUE_sample	B5	Batch1	39	HMO
