vOTU	Chem_1	Chem_10	Chem_11	Chem_12	Chem_13	Chem_14	Chem_15	Chem_16	Chem_17	Chem_18	Chem_19	Chem_2	Chem_20	Chem_21	Chem_22	Chem_23	Chem_24	Chem_25	Chem_26	Chem_27	Chem_28	Chem_29	Chem_3	Chem_30	Chem_31	Chem_32	Chem_33	Chem_34	Chem_35	Chem_36	Chem_37	Chem_38	Chem_39	Chem_4	Chem_40	Chem_41	Chem_42	Chem_43	Chem_44	Chem_45	Chem_46	Chem_47	Chem_48	Chem_49	Chem_5	Chem_50	Chem_51	Chem_52	Chem_53	Chem_54	Chem_55	Chem_56	Chem_57	Chem_58	Chem_59	Chem_6	Chem_60	Chem_61	Chem_62	Chem_63	Chem_7	Chem_8	Chem_9	P1	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P2	P20	P21	P22	P23	P24	P25	P26	P27	P28	P29	P3	P30	P31	P32	P33	P34	P35	P36	P37	P38	P39	P4	P40	P41	P42	P43	P44	P45	P46	P47	P48	P49	P5	P50	P51	P52	P53	P54	P55	P56	P57	P58	P6	P60	P61	P62	P63	P64	P65	P66	P67	P68	P69	P7	P70	P71	P8	P9
vOTU_20237	694794.4773	695414.7297	123663.0756	112680.5826	66290.11793	55473.7683	18720.69414	0	7794.300313	5693.973722	902211.3043	85376.71355	50943.37341	183245.2528	78099.35558	510782.251	86941.70056	9148.699616	0	4851.837119	848824.0188	0	126718.3793	160393.5261	0	0	47682.21582	111014.068	17083.45988	3487.604166	0	0	791847.604	17637.60851	0	283970.3633	76492.81542	94089.61244	8158.28707	0	0	0	850425.9207	289821.4996	52783.90372	230467.2727	87034.60595	127366.5769	77095.38372	0	0	0	5751108.271	763163.1531	5117.837479	14669.88967	2608.983984	21564.11138	254936.6255	149422.1456	0	0	20199.91727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20289	83282.45191	67037.88004	0	10933.11669	14176.52583	5529.172826	6513.686584	0	0	0	96659.50598	0	0	23061.53927	5227.916682	0	0	0	0	0	102341.1401	0	35001.62501	19086.93732	0	0	7044.254685	5623.024112	0	0	0	0	118782.0639	33766.20463	0	47261.93882	6591.302332	2795.753782	0	0	0	0	88444.50703	0	19653.3173	20234.17878	3751.657554	12492.59172	7024.758753	0	0	0	8389.990245	0	0	0	7646.677001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20291	6005.40172	1923.206112	0	0	0	0	0	0	0	0	5257.044822	0	0	0	0	0	0	0	0	0	14855.66764	0	0	0	0	0	0	0	0	0	0	0	6897.83771	0	0	0	0	0	0	0	0	0	2581.070228	0	0	0	0	0	0	0	0	0	0	0	0	0	39933.42888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20296	8708.302396	53412.2069	0	25783.27226	0	0	0	0	0	0	50428.51428	0	0	9870.272052	0	0	0	0	0	0	23373.00101	0	0	0	0	0	0	10304.24608	0	0	0	0	32472.20849	0	0	0	0	0	0	0	0	0	46325.14772	0	0	0	0	0	13079.03437	0	0	0	0	0	99486.93728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20326	15296.07538	10900.79095	0	0	0	0	0	0	0	0	9942.233575	0	0	17960.17492	0	0	0	0	0	0	17093.86329	0	0	0	0	0	0	0	0	0	0	0	15355.52329	0	0	0	0	0	0	0	0	0	9869.32504	0	0	0	0	0	0	0	0	0	0	0	0	0	170519.2064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270.7561035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20679	46898.05679	92944.63833	0	32260.62725	12107.88771	4859.279422	0	0	0	0	158390.473	0	0	31470.24936	6334.106779	0	0	0	0	0	129096.4998	0	20440.18471	45765.01051	0	0	5311.633059	4386.853825	0	0	0	0	120110.9223	6756.13917	0	23277.64324	0	2969.628453	0	0	0	0	107014.133	0	0	61750.70057	14145.24781	17266.6794	7123.460736	0	0	0	0	0	237438.4136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20737	5263.058986	2383.406962	0	0	0	0	0	0	0	0	5907.647669	0	0	0	0	0	0	0	0	0	2803.770956	0	0	0	0	0	0	0	0	0	0	0	320.6409263	0	0	0	0	0	0	0	0	0	675.0566403	0	0	0	0	0	0	0	0	0	5358.831467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20766	3915.742986	0	0	0	0	0	0	0	0	0	14003.4161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2578.423253	0	0	0	0	0	0	0	0	0	3869.656454	0	0	10039.27254	0	0	0	0	0	0	0	0	21303.27278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
vOTU_20779	5623.464513	920.5637848	0	0	0	0	0	0	0	0	3691.158269	0	0	0	0	0	0	0	0	0	6770.837667	0	0	0	0	0	0	0	0	0	0	0	7529.665871	0	0	0	0	0	0	0	0	0	6078.97438	0	0	5144.138229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
